List 1,List 2
ACCESS_FINE_LOCATION,android.permission.ACCESS_FINE_LOCATION
ACCESS_COARSE_LOCATION,android.permission.ACCESS_COARSE_LOCATION
ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE
ACCESS_WIFI_STATE,android.permission.ACCESS_WIFI_STATE
ACCOUNT_MANAGER,android.permission.ACCOUNT_MANAGER
ADD_VOICEMAIL,android.permission.ADD_VOICEMAIL
ANSWER_PHONE_CALLS,android.permission.ANSWER_PHONE_CALLS
BATTERY_STATS,android.permission.BATTERY_STATS
BIND_ACCESSIBILITY_SERVICE,android.permission.BIND_ACCESSIBILITY_SERVICE
BIND_APPWIDGET,android.permission.BIND_APPWIDGET
BIND_AUTOFILL_SERVICE,android.permission.BIND_AUTOFILL_SERVICE
BIND_DEVICE_ADMIN,android.permission.BIND_DEVICE_ADMIN
BIND_PRINT_SERVICE,android.permission.BIND_PRINT_SERVICE
BLUETOOTH,android.permission.BLUETOOTH
BLUETOOTH_ADMIN,android.permission.BLUETOOTH_ADMIN
BODY_SENSORS,android.permission.BODY_SENSORS
BROADCAST_STICKY,android.permission.BROADCAST_STICKY
CALL_PHONE,android.permission.CALL_PHONE
CAMERA,android.permission.CAMERA
CHANGE_COMPONENT_ENABLED_STATE,android.permission.CHANGE_COMPONENT_ENABLED_STATE
CHANGE_CONFIGURATION,android.permission.CHANGE_CONFIGURATION
CHANGE_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE
CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE
CHANGE_WIFI_STATE,android.permission.CHANGE_WIFI_STATE
CLEAR_APP_CACHE,android.permission.CLEAR_APP_CACHE
CONTROL_LOCATION_UPDATES,android.permission.CONTROL_LOCATION_UPDATES
DELETE_CACHE_FILES,android.permission.DELETE_CACHE_FILES
DELETE_PACKAGES,android.permission.DELETE_PACKAGES
DIAGNOSTIC,android.permission.DIAGNOSTIC
DISABLE_KEYGUARD,android.permission.DISABLE_KEYGUARD
EXPAND_STATUS_BAR,android.permission.EXPAND_STATUS_BAR
FLASHLIGHT,android.permission.FLASHLIGHT
FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE
GET_ACCOUNTS,android.permission.GET_ACCOUNTS
GET_PACKAGE_SIZE,android.permission.GET_PACKAGE_SIZE
GET_TASKS,android.permission.GET_TASKS
INSTALL_PACKAGES,android.permission.INSTALL_PACKAGES
INSTALL_SHORTCUT,android.permission.INSTALL_SHORTCUT
INTERNET,android.permission.INTERNET
KILL_BACKGROUND_PROCESSES,android.permission.KILL_BACKGROUND_PROCESSES
LOCATION_HARDWARE,android.permission.LOCATION_HARDWARE
MANAGE_DOCUMENTS,android.permission.MANAGE_DOCUMENTS
MANAGE_EXTERNAL_STORAGE,android.permission.MANAGE_EXTERNAL_STORAGE
MEDIA_CONTENT_CONTROL,android.permission.MEDIA_CONTENT_CONTROL
MODIFY_AUDIO_SETTINGS,android.permission.MODIFY_AUDIO_SETTINGS
NFC,android.permission.NFC
PACKAGE_USAGE_STATS,android.permission.PACKAGE_USAGE_STATS
PROCESS_OUTGOING_CALLS,android.permission.PROCESS_OUTGOING_CALLS
READ_CALENDAR,android.permission.READ_CALENDAR
READ_CALL_LOG,android.permission.READ_CALL_LOG
READ_CONTACTS,android.permission.READ_CONTACTS
READ_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE
READ_LOGS,android.permission.READ_LOGS
READ_PHONE_NUMBERS,android.permission.READ_PHONE_NUMBERS
READ_PHONE_STATE,android.permission.READ_PHONE_STATE
READ_SMS,android.permission.READ_SMS
READ_SYNC_SETTINGS,android.permission.READ_SYNC_SETTINGS
RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_BOOT_COMPLETED
RECORD_AUDIO,android.permission.RECORD_AUDIO
REORDER_TASKS,android.permission.REORDER_TASKS
REQUEST_INSTALL_PACKAGES,android.permission.REQUEST_INSTALL_PACKAGES
RESTART_PACKAGES,android.permission.RESTART_PACKAGES
SEND_SMS,android.permission.SEND_SMS
SET_ALARM,android.permission.SET_ALARM
SET_WALLPAPER,android.permission.SET_WALLPAPER
SYSTEM_ALERT_WINDOW,android.permission.SYSTEM_ALERT_WINDOW
USE_BIOMETRIC,android.permission.USE_BIOMETRIC
USE_FINGERPRINT,android.permission.USE_FINGERPRINT
VIBRATE,android.permission.VIBRATE
WAKE_LOCK,android.permission.WAKE_LOCK
WRITE_CALENDAR,android.permission.WRITE_CALENDAR
WRITE_CONTACTS,android.permission.WRITE_CONTACTS
WRITE_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
WRITE_SETTINGS,android.permission.WRITE_SETTINGS
